V1,V2,V3,V4,V5,V7,V8,V9,V10,Include,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,status,Native_1,Native_2,Native_3,Native_3_TEXT,Speak_1,Speak_2,Speak_5,Speak_5_TEXT,Home,MariaEN,AlexEN,Consent,Intro,ScenN1,ScenN2,ScenN3,ScenN4,ScenN5,ScenN6,ScenN7,ScenN8,ScenN9,ScenN10,ScenN11,ScenN12,ScenN13,ScenN14,ScenN15,ScenN16,ScenN17,ScenN18,ScenN19,ScenN20,Scenario1,Scenario2,Scenario3,Scenario4,Scenario5,Scenario6,Scenario7,Scenario8,Scenario9,Scenario10,Scenario11,Scenario12,Scenario13,Scenario14,Scenario15,Scenario16,Scenario17,Scenario18,Scenario19,Scenario20,dv1,dv3,dv5,dv7,dv9,dv11,dv13,dv15,dv17,dv19,dv2,dv4,dv6,dv8,dv10,dv12,dv14,dv16,dv18,dv20,time_11,time_21,time_31,time_41,time_12,time_22,time_32,time_42,time_13,time_23,time_33,time_43,time_14,time_24,time_34,time_44,time_15,time_25,time_35,time_45,time_16,time_26,time_36,time_46,time_17,time_27,time_37,time_47,time_18,time_28,time_38,time_48,time_19,time_29,time_39,time_49,time_110,time_210,time_310,time_410,time_111,time_211,time_311,time_411,time_112,time_212,time_312,time_412,time_113,time_213,time_313,time_413,time_114,time_214,time_314,time_414,time_115,time_215,time_315,time_415,time_116,time_216,time_316,time_416,time_117,time_217,time_317,time_417,time_118,time_218,time_318,time_418,time_119,time_219,time_319,time_419,time_120,time_220,time_320,time_420,Q42,Q44,gender,age_1,familiar,familiar2,Q36,Q47,Q47_TEXT,Q49,Q51_1,Q53_1,Q55_1,Q55_2,Q55_3,Q55_4,Q55_5,Q55_6,Q55_7,Q55_8,Q57_1,Q57_2,Q57_3,Q57_4,comments
R_ezgcQZEpaew82Pj,Default Response Set,Anonymous,43,1,0,9/29/16 17:05,9/29/16 17:49,1,1,C_torture,C_wood press,I_motocross,C_nurse,I_vaccine,I_grizzly,I_transplant,C_motocross,C_air show,I_nurse,C_transplant,C_cargo,I_wood press,C_grizzly,I_cargo,I_air show,I_footbridge,C_footbridge,C_vaccine,I_torture,complete,,1,,,1,1,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,26.175,26.175,27.164,1,89.749,89.749,94.412,1,14.264,14.264,15.858,1,29.332,29.332,30.414,1,87.347,88.459,90.82,2,21.229,21.229,24.108,1,64.554,64.554,65.476,1,19.613,19.613,23.064,1,20.244,20.244,20.939,1,51.199,51.199,52.332,1,12.742,12.742,14.134,1,30.434,30.434,32.231,1,78.337,78.337,79.527,1,23.422,23.422,24.408,1,27.301,27.301,30.126,1,73.496,73.496,76.606,1,11.42,11.42,19.605,1,87.813,89.307,103.832,2,33.352,33.352,34.287,1,40.776,40.776,46.008,1,,4,1,24,1,"Police brutality is currently a hot-topic, and chemo therapy is a medicine that kills and causes nausia, though cancer is not contagious. ","Ist es moralish ungerecht einen nahen Mann zu drngen, um vier anderen Menschen vom Sterben zu vermeiden. ",1,,1,19,3,4,7,7,6,7,5,6,6,0,91,81,73,
R_8bO55p4XlgWzrEh,Default Response Set,Anonymous,44,1,0,9/29/16 19:42,9/29/16 20:01,1,1,C_wood press,I_transplant,I_motocross,C_torture,C_footbridge,I_grizzly,C_air show,C_grizzly,I_vaccine,I_wood press,I_nurse,I_torture,C_nurse,C_motocross,I_air show,C_vaccine,I_footbridge,C_cargo,C_transplant,I_cargo,complete,,1,,,1,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,8.56,9.272,12.029,2,44.716,44.716,45.915,1,8.956,9.426,10.472,2,21.069,21.069,22.62,1,62.187,62.187,63.493,1,18.606,18.606,19.652,1,31.096,31.096,32.958,1,10.373,10.373,11.623,1,12.164,12.164,13.612,1,37.048,71.28,73.255,2,14.243,14.243,15.419,1,18.908,18.908,19.832,1,10.716,10.716,15.675,1,12.714,12.714,14.133,1,19.771,19.771,21.206,1,9.753,31.462,34.458,2,29.123,29.123,30.335,1,11.906,14.416,17.244,3,25.028,25.028,26.683,1,61.185,61.185,62.198,1,3,,1,21,2,,"Es ist moralisch richtig, schieben der nah Mann zu, viere Leuten aus Tod verhindern. ",1,,1,12,0,7,7,7,7,4,3,5,4,0,0,28,7,
R_e5rJg92iv9F7Mjz,Default Response Set,Anonymous,45,1,0,9/29/16 19:55,9/29/16 20:21,1,1,C_wood press,I_torture,C_footbridge,C_motocross,I_grizzly,C_vaccine,C_air show,I_air show,I_wood press,I_footbridge,I_vaccine,I_motocross,C_cargo,C_grizzly,I_nurse,I_transplant,C_transplant,C_torture,I_cargo,C_nurse,complete,,1,,,1,1,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,10.716,10.716,17.187,1,32.661,32.661,41.22,1,30.151,30.151,39.357,1,37.685,37.685,41.327,1,14.3,14.3,17.93,1,49.37,49.37,70.746,1,21.079,21.079,23.692,1,35.606,35.606,38.197,1,21.591,21.591,30.141,1,28.115,28.115,35.211,1,12.276,12.276,15.923,1,33.062,33.062,38.126,1,12.02,12.02,13.883,1,14.956,14.956,19.431,1,29.851,29.851,32.684,1,20.235,20.235,42.829,1,24.106,24.106,41.328,1,11.289,11.289,14.647,1,19.417,19.417,21.482,1,22.278,22.278,25.156,1,4,,2,22,1,"Many of them were the same, with the difference being one death compared to many injuries.","Ist es richtig der Mann in der Nhe drcken, wenn es kann vier Menchen ab Tod sparen?",1,,1,21,0,7,7,7,7,3,3,5,4,4,9,8,0,"I realize that you don't want participants to understand the study too well or it will become inaccurate because of various biases, but I don't see how this was very connected with German."
R_ehSOsjHCfY6KgsZ,Default Response Set,Anonymous,46,1,0,9/29/16 21:55,9/29/16 22:17,1,1,I_motocross,I_cargo,I_nurse,C_torture,C_wood press,I_footbridge,I_grizzly,C_cargo,I_air show,C_transplant,I_torture,C_air show,C_nurse,C_grizzly,I_transplant,C_vaccine,C_motocross,I_wood press,I_vaccine,C_footbridge,complete,,1,,,1,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,60.954,60.954,64.947,1,23.258,23.258,26.272,1,20.028,20.028,22.306,1,32.221,32.221,40.947,1,29.641,29.641,31,1,20.893,20.893,22.124,1,39.794,39.794,41.113,1,18.387,18.387,20.009,1,58.285,58.285,59.568,1,46.849,46.849,48.548,1,16.189,16.189,17.572,1,19.061,19.061,20.847,1,13.747,13.747,15.609,1,20.599,20.599,21.875,1,48.469,48.469,49.777,1,34.461,34.461,37.042,1,30.838,30.838,32.117,1,14.903,14.903,17.291,1,60.301,60.301,61.852,1,23.274,23.274,25.423,1,,4,2,19,1,"The situations seemed to mirror each other, and most had life or death situations.","Ist es moralisch recht der Man in der nhe drcken, vier andere Leute von sterben zu verhindern",1,,1,15,1,7,7,7,7,4,5,4,4,8,30,31,37,
R_emOPRlqQqRaaso5,Default Response Set,Anonymous,47,1,0,9/30/16 9:14,9/30/16 9:34,1,1,I_air show,I_wood press,C_vaccine,I_nurse,I_vaccine,C_cargo,I_torture,C_torture,I_footbridge,C_motocross,C_air show,I_transplant,C_nurse,C_footbridge,C_grizzly,C_transplant,I_motocross,C_wood press,I_cargo,I_grizzly,complete,,1,,,1,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,23.091,23.091,24.609,1,35.299,35.299,37.416,1,24.82,24.82,25.865,1,25.356,25.356,26.225,1,41.546,41.546,42.95,1,38.3,38.3,39.307,1,4.226,4.226,8.32,1,20.056,20.056,20.939,1,45.043,45.043,45.932,1,27.906,27.906,29.223,1,31.312,31.312,32.101,1,13.102,13.102,13.823,1,34.852,34.852,36.793,1,23.73,23.73,24.694,1,16.761,16.761,17.623,1,32.11,32.11,33.65,1,46.234,46.234,47.126,1,25.852,25.852,27.937,1,26.766,26.766,27.913,1,17.688,17.688,18.404,1,,4,2,21,1,"All of them.  They're all the trolley problem, but in different scenarios and with varying degrees of repercussion for the option where you choose to do nothing.","Ist es moralisch, den nhen Mann zu schieben, um den Tod vier anderer Leute zu verhindern?",1,,1,19,0.5,5,6,6,6,3,4,4,4,0,0,40,10,
R_3xxLyPikzGU7aap,Default Response Set,Anonymous,48,1,0,9/30/16 12:02,9/30/16 12:18,1,1,I_torture,I_nurse,C_nurse,C_footbridge,C_grizzly,C_cargo,I_wood press,I_footbridge,I_cargo,C_wood press,C_torture,C_motocross,C_air show,C_vaccine,I_vaccine,I_transplant,I_motocross,I_air show,C_transplant,I_grizzly,complete,,1,,,1,1,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,6.602,6.602,8.907,1,28.408,28.408,29.386,1,28.308,28.308,35.243,1,21.824,21.824,24.713,1,7.717,7.717,8.879,1,25.55,25.55,26.807,1,26.281,29.829,31.728,2,23.654,23.654,25.32,1,89.205,89.813,90.746,2,15.538,15.538,18.184,1,22.839,22.839,23.947,1,9.124,9.124,10.173,1,10.05,10.05,11.303,1,39.719,39.719,40.804,1,35.785,35.785,36.955,1,25.688,25.688,29.954,1,30.665,31.702,41.917,2,13.487,13.487,17.01,1,16.256,16.256,17.226,1,19.576,19.852,20.997,2,4,,2,27,1,I recently heard a podcast with interviews of doctors in a New Orleans hospital during hurricane Katrina. They discussed the decisions they struggled to make regarding whom to save and whom to leave behind. ,"Ist es moralisch korrekt, den nherstehender Mann zu schieben, um 4 anderen Leuten das Leben zu retten?",1,,2,16,24,7,7,7,7,6,6,6,6,5,49,44,31,
R_9p29vTkRTg6GFXT,Default Response Set,Anonymous,49,1,0,9/30/16 14:21,9/30/16 14:36,1,1,C_wood press,C_footbridge,C_transplant,C_motocross,C_grizzly,I_grizzly,C_air show,I_vaccine,I_motocross,I_nurse,I_cargo,I_wood press,C_cargo,I_torture,C_vaccine,I_transplant,I_air show,C_nurse,C_torture,I_footbridge,complete,,1,,,1,1,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,27.016,27.016,28.573,1,25.624,25.624,27.685,1,29.971,29.971,31.102,1,10.953,10.953,12.849,1,21.921,21.921,23.137,1,15.355,15.355,16.773,1,22.868,22.868,24.317,1,21.491,21.491,22.787,1,25.728,25.728,27.766,1,10.063,10.063,25.278,1,13.391,13.391,14.626,1,18.275,18.275,19.531,1,19.494,19.494,21.272,1,17.626,17.626,19.919,1,3.575,3.575,5.941,1,13.274,13.274,14.412,1,29.743,29.743,30.921,1,16.258,16.258,17.907,1,14.111,14.111,15.308,1,5.233,5.233,23.761,1,4,,2,20,2,,Ist es moralisch zu schieben einen Mann in der Nhe sodass vier Personen vom Sterben zu verhindern.,1,,2,13,1,7,7,7,7,3,4,5,4,0,27,52,58,
R_3WTGl7xcsy7cr53,Default Response Set,Anonymous,50,1,0,9/30/16 14:15,9/30/16 14:39,1,1,I_cargo,C_wood press,C_cargo,I_wood press,C_footbridge,I_transplant,I_footbridge,C_transplant,C_motocross,I_vaccine,C_vaccine,I_air show,I_nurse,I_torture,C_grizzly,I_grizzly,C_nurse,C_air show,I_motocross,C_torture,complete,,1,,,1,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,26.631,26.631,38.159,1,76.764,76.764,79.9,1,51.6,51.6,53.164,1,28.012,28.012,30.228,1,35.638,37.162,40.135,2,20.204,20.204,21.698,1,16.819,16.819,21.82,1,49.099,49.099,52.398,1,73.148,73.148,76.121,1,179.926,179.926,182.274,1,35.414,35.414,36.642,1,14.698,14.698,16.152,1,24.187,24.187,25.81,1,17.711,17.711,21.24,1,27.155,27.155,29.387,1,75.553,75.553,77.464,1,58.461,58.461,60.739,1,26.767,26.767,29.158,1,15.737,15.737,17.171,1,34.744,34.744,36.825,1,,4,1,19,2,,"Ist es moralisch ok einer mann zu schieben, wenn sonnst 4 Personen sterben wrden",1,,3,16,6,7,7,7,7,6,6,3,3,0,15,2,9,"Whoa, some of those were kind of dark. Also, would the pilot not have died either way?"
R_cFOXaMP8wxVkllX,Default Response Set,Anonymous,51,1,0,9/30/16 14:24,9/30/16 14:47,1,1,I_nurse,I_grizzly,I_wood press,I_vaccine,C_wood press,I_transplant,C_grizzly,C_air show,C_motocross,I_torture,I_air show,I_motocross,C_transplant,C_torture,C_nurse,C_vaccine,I_cargo,C_footbridge,I_footbridge,C_cargo,complete,,1,,,1,1,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,50.113,50.113,51.413,1,20.143,20.143,21.629,1,46.453,46.453,47.235,1,36.538,36.538,38.197,1,26.696,26.696,28.688,1,41.642,41.642,42.596,1,0.345,14.199,16.441,2,38.868,38.868,39.687,1,55.15,55.15,66.932,1,47.186,47.186,48.211,1,18.006,18.006,20.28,1,18.283,18.283,21.426,1,26.165,26.165,54.593,1,19.715,19.715,22.142,1,59.097,59.097,61.011,1,44.607,44.607,46.986,1,54.386,54.386,56.315,1,33.076,33.076,34.054,1,18.609,18.609,19.522,1,50.372,50.372,51.247,1,,4,1,21,2,,"Es ist moralisch, ein man in die Nhe zeigen, damit 4 andere Menschen leben knnen.",1,,1,13,3,7,7,7,7,5,3,5,4,0,3,1,0,
R_2h33XXCNLekpAAR,Default Response Set,Anonymous,52,1,0,9/30/16 14:54,9/30/16 15:10,1,1,C_motocross,I_transplant,C_transplant,I_vaccine,I_motocross,I_grizzly,C_footbridge,C_torture,C_wood press,C_nurse,I_wood press,I_footbridge,C_air show,I_air show,I_nurse,C_vaccine,I_torture,I_cargo,C_grizzly,C_cargo,complete,,1,,,1,1,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,22.163,23.653,24.886,2,10.424,10.424,12.158,1,21.155,23.195,27.512,2,25.424,29.324,30.758,2,18.709,18.709,19.628,1,19.924,22.119,23.628,2,77.673,77.673,78.765,1,28.592,30.238,34.741,2,16.381,18.078,19.617,2,30.163,30.163,32.631,1,23.641,23.641,33.557,1,11.18,11.18,12.466,1,95.604,95.604,97.371,1,17.771,21.497,22.7,3,46.225,49.563,50.746,2,13.998,15.684,16.703,2,19.129,19.129,20.146,1,22.238,22.238,25.006,1,19.555,19.555,20.985,1,21.267,21.267,22.301,1,4,,2,20,1,The trolley problem,"Ist es ok, der Mann zu pushen, so dass die andere vier Leute nicht sterben?",1,,1,17,2,7,7,7,7,4,5,5,4,0,4,9,22,
R_d05Vwc5cFOKz6Yd,Default Response Set,Anonymous,53,1,0,9/30/16 15:02,9/30/16 15:20,1,1,I_motocross,I_footbridge,C_grizzly,I_nurse,I_torture,I_air show,C_transplant,C_wood press,I_transplant,I_grizzly,C_nurse,C_torture,C_footbridge,I_vaccine,C_motocross,C_vaccine,C_air show,I_wood press,I_cargo,C_cargo,complete,,1,,,1,,1,French,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,2,2,1,2,2,1,1,2,13.297,13.297,13.736,1,6.549,6.549,11.908,1,19.545,19.545,20.871,1,3.991,3.991,4.612,1,31.059,31.059,31.839,1,12.779,12.779,13.456,1,46.022,46.022,46.722,1,7.239,7.239,7.673,1,8.1,8.1,8.856,1,26.896,26.896,27.35,1,27.408,27.408,27.934,1,18.158,18.158,18.741,1,13.536,13.536,14.34,1,8.311,8.311,8.779,1,8.173,8.173,8.485,1,15.212,15.212,16.687,1,55.697,55.697,57.335,1,3.735,3.735,5.931,1,51.227,58.653,59.167,2,3.274,3.274,4.222,1,,4,2,20,2,,"Ist es moralisch, den nahen Mann zu schieben, um vier andere Personen vom Sterben zu schtzen?",1,,2,14,2,7,7,7,7,5,6,7,7,30,40,20,10,"This can absolutely have risks for participants. You need to clarify that there could be triggers in this survey, I don't care what the president of your university has written. This is unacceptable. "
R_afwvlOLHaZM09gh,Default Response Set,Anonymous,54,1,0,9/30/16 17:08,9/30/16 18:17,1,1,I_motocross,I_nurse,I_wood press,C_cargo,I_transplant,I_footbridge,C_wood press,C_motocross,C_nurse,C_vaccine,C_torture,C_grizzly,I_grizzly,I_air show,C_transplant,I_torture,C_footbridge,C_air show,I_vaccine,I_cargo,complete,,1,,,1,1,1,"Italian, Arabic, Spanish ",2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,35.174,35.174,37.162,1,226.767,226.767,245.375,1,40.707,40.707,42.285,1,72.906,72.906,84.347,1,53.496,53.496,57.201,1,11.88,11.88,13.869,1,341.938,341.938,358.344,1,35.317,35.317,38.244,1,314.976,314.976,316.861,1,31.178,31.178,129.144,1,25.878,25.878,27.638,1,36.733,36.733,38.576,1,38.235,38.235,42.306,1,54.481,54.481,55.83,1,50.899,50.899,52.407,1,66.612,66.612,68.204,1,92.425,92.425,212.16,1,65.743,65.743,69.389,1,80.244,80.244,83.477,1,53.46,53.46,55.071,1,4,,2,23,1,The captain of the ship and the wood factory questions. ,"I feel that this particular sentence would be worded differently if it was translate directly, it might add a couple of Model Verbs...  /  / Ist es moralisch korrekt den man zu schieben, um dass man verhindern koennte, dass die andere vier Leute sterben muessen. ",1,,1,21,10,7,7,6,6,6,6,5,5,0,10,0,33,"This study honestly made me question if I was a bad person or not, so I think it served its purpose. "
R_bBCgqfdOwI8wGwd,Default Response Set,Anonymous,55,1,0,9/30/16 15:29,9/30/16 19:51,1,1,C_grizzly,I_transplant,C_torture,I_grizzly,I_cargo,I_footbridge,C_air show,C_vaccine,I_torture,C_footbridge,I_air show,I_nurse,I_motocross,C_motocross,C_transplant,C_wood press,I_vaccine,I_wood press,C_cargo,C_nurse,complete,,1,,,1,1,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,2,2,2,1,2,2,2,29.313,30.906,34.379,2,4.403,4.403,8.104,1,18.434,18.434,19.546,1,10.6,10.6,19.681,1,14.621,14.621,16.376,1,24.248,24.248,36.349,1,45.488,45.488,46.396,1,13.902,13.902,17.501,1,28.565,28.565,29.761,1,355.301,355.301,358.988,1,23.556,23.556,25.851,1,10.705,10.705,11.498,1,4.65,5.958,7.958,2,31.654,51.567,53.695,2,9.131,14.63,25.343,3,35.985,37.238,39.885,2,26.037,30.846,32.979,4,5.207,5.207,8.593,1,15.817,35.696,40.26,2,26.708,29.16,29.954,2,,4,2,19,2,,"Wre es moralisch den Mann, der neben dir steht zu schieben um vier andere Leute zu retten? ",1,,2,12,72,7,7,7,7,6,6,6,6,11,9,73,51,I'd like to know the results to this study 
R_elAQFnVSFxWa101,Default Response Set,Anonymous,56,1,0,9/30/16 21:24,9/30/16 21:41,1,1,I_wood press,C_vaccine,C_cargo,I_cargo,I_transplant,C_nurse,I_nurse,C_footbridge,C_motocross,C_transplant,C_air show,C_torture,I_footbridge,I_air show,C_grizzly,I_torture,I_vaccine,I_motocross,I_grizzly,C_wood press,complete,,1,,,1,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,12.044,12.044,12.855,1,22.027,22.027,31.162,1,12.61,12.61,13.559,1,36.506,36.506,37.684,1,14.999,14.999,16.269,1,15.544,15.544,17.467,1,6.788,6.788,7.761,1,86.293,86.293,87.101,1,55.084,55.084,57.578,1,11.873,11.873,12.831,1,11.069,11.069,12.735,1,30.823,30.823,31.904,1,8.081,8.081,15.906,1,94.129,94.129,95.056,1,5.72,10.033,10.916,3,25.652,25.652,26.901,1,17.034,17.034,22.637,1,51.337,51.337,52.711,1,22.59,22.59,24.248,1,43.835,43.835,45.403,1,,4,1,20,2,,"Ist es moralische richtig, zu den Mann in der Nhe schlagen zu die Tod der vier andere Leuten verhindern?",1,,1,16,0,7,7,7,7,3,4,5,5,0,28,20,16,These seem like strange questions for a language survey 
R_bBnKmjpSFKQnVat,Default Response Set,Anonymous,57,1,0,9/30/16 23:11,9/30/16 23:38,1,1,I_motocross,C_vaccine,C_wood press,C_motocross,I_grizzly,I_nurse,I_cargo,I_footbridge,I_wood press,I_air show,C_air show,C_footbridge,C_cargo,C_grizzly,C_nurse,C_transplant,I_torture,I_transplant,I_vaccine,C_torture,complete,,1,,,1,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,64.824,64.824,66.256,1,30.116,30.116,32.636,1,59.603,59.603,61.021,1,32.614,32.614,34.227,1,27.889,27.889,31.001,1,28.532,28.532,30.384,1,59.032,59.032,60.47,1,32.775,32.775,34.119,1,32.188,32.188,35.454,1,56.774,56.774,58.432,1,22.341,22.341,23.917,1,54.813,54.813,56.364,1,25.616,25.616,27.229,1,32.07,32.07,33.639,1,48.242,48.242,49.837,1,39.061,39.061,41.493,1,74.61,74.61,76.191,1,27.509,27.509,29.224,1,50.979,50.979,55.409,1,30.482,30.482,32.051,1,4,,1,20,1,The train scenarios and the vaccine scenarios. ,"Ist es moralisch richtig, den nahen Mann zu schieben, um vier anderen Menschen von Tod zu retten? ",1,,1,13,0,7,7,7,7,5,5,4,6,0,18,28,10,
R_02NcOXDTR7yK8nP,Default Response Set,Anonymous,58,1,0,10/1/16 0:42,10/1/16 1:00,1,1,C_grizzly,I_wood press,C_vaccine,C_motocross,I_vaccine,I_torture,I_transplant,C_footbridge,I_air show,C_nurse,C_wood press,I_nurse,C_cargo,C_transplant,I_motocross,I_cargo,I_footbridge,C_air show,I_grizzly,C_torture,complete,,1,,,1,1,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,19.377,19.377,20.559,1,39.576,40.741,41.631,2,22.045,22.045,22.846,1,27.42,27.42,31.004,1,39.854,39.854,40.827,1,20.911,20.911,21.829,1,18.742,18.742,19.503,1,18.777,18.777,19.539,1,30.687,30.687,31.705,1,22.093,22.093,22.932,1,14.106,14.106,14.84,1,9.246,9.246,10.069,1,13.138,13.138,16.608,1,13.906,13.906,14.72,1,42.616,42.616,47.352,1,32.78,32.78,33.636,1,29.425,29.425,30.272,1,23.56,23.56,24.397,1,16.282,16.282,17.468,1,22.409,22.409,31.679,1,4,,2,20,1,"Police officer, grizzly bear, surgeon in a hospital, nurse in a developing country","Ist es moralisch richtig den Mann, der in der Nhe ist, zu schieben um vier andere Leute vom Sterben zu verhindern?",1,,2,13,12,7,7,7,7,7,7,7,7,0,25,15,80,
R_eDu9sw2RmbztMUZ,Default Response Set,Anonymous,59,1,0,10/1/16 10:13,10/1/16 10:29,1,1,I_nurse,I_motocross,I_vaccine,I_torture,C_transplant,I_air show,C_torture,I_footbridge,I_cargo,C_footbridge,C_grizzly,C_air show,C_wood press,C_nurse,C_cargo,I_grizzly,I_wood press,C_vaccine,I_transplant,C_motocross,complete,,1,,,1,1,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,1,2,13.136,14.844,18.599,3,12.087,12.087,16.617,1,6.047,13.918,15.65,5,7.13,7.13,9.784,1,15.131,15.131,16.793,1,6.952,6.952,11.17,1,58.055,91.039,93.379,11,11.546,11.546,14.681,1,4.379,4.379,10.223,1,0.1,22.857,25.024,2,8.525,10.409,11.552,2,11.599,11.599,13.231,1,10.606,10.606,12.271,1,6.995,8.904,11.583,2,4.195,4.195,11.553,1,16.991,18.936,19.64,2,13.19,13.19,15.025,1,6.317,6.317,16.641,1,9.533,9.533,11.16,1,2.322,4.655,10.772,2,,4,1,20,1,"They are all variations of the ""pull a switch to kill one man and prevent four others from dying"" dilemma. / ",Ist das Moralische richtig trieben der nahe Man so verhuutem vier andere Leuten absterbend sind?,1,,1,18,0,7,7,7,7,3,5,5,3,0,8,9,9,
