V1,V2,V3,V5,V7,V8,V9,V10,gc,term,Attn_MariaAdam,Native_1,Native_2,Native_3,Native_3_TEXT,Speak_1,Speak_2,Speak_3,Speak_4,Speak_5,Speak_5_TEXT,Home,MariaEN,AlexEN,Consent,Intro,ScenN1,ScenN2,ScenN3,ScenN4,ScenN5,ScenN6,ScenN7,ScenN8,ScenN9,ScenN10,ScenN11,ScenN12,ScenN13,ScenN14,ScenN15,ScenN16,ScenN17,ScenN18,ScenN19,ScenN20,Scenario1,Scenario2,Scenario3,Scenario4,Scenario5,Scenario6,Scenario7,Scenario8,Scenario9,Scenario10,Scenario11,Scenario12,Scenario13,Scenario14,Scenario15,Scenario16,Scenario17,Scenario18,Scenario19,Scenario20,dv1,dv2,dv3,dv4,dv5,dv6,dv7,dv8,dv9,dv10,dv11,dv12,dv13,dv14,dv15,dv16,dv17,dv18,dv19,dv20,SubmitTime1,SubmitTime2,SubmitTime3,SubmitTime4,SubmitTime5,SubmitTime6,SubmitTime7,SubmitTime8,SubmitTime9,SubmitTime10,SubmitTime11,SubmitTime12,SubmitTime13,SubmitTime14,SubmitTime15,SubmitTime16,SubmitTime17,SubmitTime18,SubmitTime19,SubmitTime20,time_11,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_12,time_120,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_21,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_22,time_220,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_41,time_410,time_411,time_412,time_413,time_414,time_415,time_416,time_417,time_418,time_419,time_42,time_420,time_43,time_44,time_45,time_46,time_47,time_48,time_49,IRI_1,IRI_2,IRI_3,IRI_4,IRI_5,IRI_6,IRI_7,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,questioCRT1,questioCRT2,questioCRT3,questioCRT4,questioCRT5,answerCRT1,answerCRT2,answerCRT3,answerCRT4,answerCRT5,v191,v192,v193,v194,v195,timeCRT_11,timeCRT_12,timeCRT_13,timeCRT_14,timeCRT_15,timeCRT_21,timeCRT_22,timeCRT_23,timeCRT_24,timeCRT_25,timeCRT_41,timeCRT_42,timeCRT_43,timeCRT_44,timeCRT_45,Q42,Q44,gender,age_1,familiar,familiar2,Q36,Q47,Q47_TEXT,Q49,Q51_1,Q53_1,Q55_1,Q55_2,Q55_3,Q55_4,Q55_5,Q55_6,Q55_7,Q55_8,Q57_1,Q57_2,Q57_3,Q57_4,comments,Include,cond
R_exnLtHfL79QEG2x,Default Response Set,Anonymous,0,0,11/2/15 13:35,11/2/15 13:56,1,,,,1,,,,1,1,,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,17.515,10.048,15.595,20.637,23.719,22.556,48.977,7.312,38.688,30.415,106.251,15.014,26.811,20.421,12.861,84.954,13.458,8.646,5.737,19.521,11.558,16.413,105.626,7.172,13.047,4.662,11.814,56.226,11.819,6.767,4.637,9.354,18.763,10.807,19.182,19.66,12.215,40.269,5.658,32.39,11.558,16.413,105.626,7.172,13.047,11.02,11.814,56.226,11.819,6.767,4.637,9.354,18.763,10.807,19.182,19.66,12.215,42.948,5.658,32.39,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,1,5,5,1,1,5,2,2,4,3,4,1,1,1,1,1,9,15,Yes,2.25,3,23.482,37.968,11.811,33.778,32.679,1.89,2.735,2.062,1.969,4.75,1.89,2.735,2.062,1.969,4.75,1,1,1,1,1,4,,2,21,1,They all seemed relatively the same with a few facts changed between them,Es apropiado para que mantegna su relacion previa en secreto para mantener su relacion viva y la otra persona contentos ,1,,1,14,0,4,3,6,6,7,7,7,7,0,0,0,0,,Yes,0
R_bkj1qNJWFVOIzJj,Default Response Set,Anonymous,0,0,11/2/15 13:38,11/2/15 14:03,1,,,,1,,,,1,1,,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,2,2,60.097,23.16,19.289,34.006,25.018,23.663,34.367,31.349,27.748,32.887,18.869,21.823,20.005,46.051,18.507,29.08,27.498,12.655,19.592,23.885,21.893,26.442,16.658,19.52,16.762,36.762,13.228,22.965,16.606,10.281,15.346,18.96,12.988,11.879,24.316,21.186,19.088,29.241,30.102,24.073,48.562,26.442,17.111,19.52,16.762,36.762,14.579,22.965,24.431,11.323,15.346,18.96,12.988,11.879,24.316,21.186,19.088,29.241,30.102,24.073,2,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,5,2,4,4,2,2,4,1,1,5,5,5,1,1,1,1,1,4,30,No,2.25,5,66.392,17.981,21.246,44.86,222.935,15.616,0.8,1.027,4.223,1.074,15.616,0.8,1.027,37.131,158.055,1,1,1,2,3,4,,1,19,2,,ÀEs apropriado a mantener secreta su previa relacin para que se queda feliz ella/l y mantenga la relacin?,1,,1,14,0,6,5,6,6,7,7,7,7,0,5,10,25,,Yes,0
R_7ZMNX4JxZW6e9Ex,Default Response Set,Anonymous,0,0,11/2/15 13:51,11/2/15 14:10,1,,,,1,,,,1,1,,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,5.801,19.642,12.103,12.733,17.059,18.306,13.949,17.676,17.199,23.18,12.749,10.961,18.191,22.217,11.708,19.164,22.636,20.636,14.446,10.196,4.921,20.987,11.284,9.72,16.918,21.295,10.403,16.276,21.411,19.348,11.949,18.601,9.347,11.35,11.699,16.043,17.217,12.789,16.483,13.279,4.921,20.987,11.284,9.72,16.918,21.295,10.403,16.276,21.411,19.348,11.949,18.601,9.347,11.35,11.699,16.043,17.217,12.789,16.483,16.352,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,3,3,4,3,3,4,3,3,3,2,1,1,1,1,1,4,29,Yes,2.25,5,156.439,50.742,12.864,77.26,29.922,2.54,1.391,1.525,2.227,1.36,143.058,1.391,1.525,67.651,1.36,2,1,1,2,1,,4,2,21,2,,Es aproprias que tu relationes son un secreto?,1,,1,14,3,2,3,2,2,7,7,7,7,1,8,0,12,,Yes,0
R_1IhVpPSiK3voROB,Default Response Set,Anonymous,0,0,11/2/15 13:56,11/2/15 14:10,1,,,,1,,,,1,1,,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,2,2,21.842,25.711,23.517,18.993,18.793,21.254,25.792,30.039,20.289,29.203,20.141,13.296,16.634,44.158,15.487,17.546,15.434,19.996,28.779,13.641,16.387,27.755,17.053,11.857,14.463,42.369,13.888,14.771,13.856,18.125,26.881,21.822,11.917,22.065,15.939,17.508,19.915,23.9,28.256,19.025,16.387,27.755,17.053,11.857,14.463,42.369,13.888,14.771,13.856,18.125,26.881,22.906,11.917,22.065,15.939,17.508,19.915,23.9,28.256,19.025,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,5,2,5,4,2,2,4,1,1,5,5,2,1,1,1,1,1,12 3 2015,29,No ,2.25,5,39.918,13.994,16.288,33.622,25.507,1.357,1.109,1.298,3.053,1.246,1.357,1.109,1.298,29.796,1.246,1,1,1,2,1,4,,2,22,2,,Es apropiado para esconder su relacion anterior para mantener su relacion alegre y continuando?,1,,1,16,2,4,6,5,5,7,7,7,7,0,1,15,0,,Yes,0
R_cY2VV1j9dvdXem1,Default Response Set,Anonymous,0,0,11/2/15 14:11,11/2/15 14:29,1,,,,1,,,,1,1,,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,1,1,2,2,1,2,1,2,2,2,21.826,21.323,14.712,19.995,36.17,20.309,26.493,24.209,24.671,23.125,20.313,16.616,27.134,35.337,13.43,16.579,19.582,25.68,13.854,8.823,19.839,20.316,17.801,15.457,21.722,32.394,12.314,15.23,16.496,24.421,12.499,20.202,7.65,13.739,18.552,30.975,19.33,25.218,23.004,22.145,19.839,20.316,18.612,15.457,21.722,32.394,12.314,15.23,16.496,24.421,12.499,20.202,7.65,13.739,18.552,30.975,19.33,25.218,23.004,22.145,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,4,5,2,1,4,1,1,4,5,1,1,1,1,1,1,9,29,No ,2.25,5,33.409,23.361,14.473,26.332,23.801,19.184,5.754,6.404,8.382,13.684,19.184,5.754,6.404,8.382,13.684,1,1,1,1,1,,4,2,21,1,"The smothering a baby to prevent death- seen in Maus, the graphic novel",Es apropiado guardar una relacin anterior como secreto para proteger la felicidad de el/ella y preservar la relacin?,1,,2,14,6,7,6,5,6,7,7,7,7,0,33,22,40,,Yes,0
R_5oiWuQlPdeKMcAt,Default Response Set,Anonymous,0,0,11/2/15 14:26,11/2/15 15:07,1,,,,1,,,,1,1,,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,2,2,1,1,2,2,1,2,1,2,2,2,21.68,26.753,36.13,39.621,19.258,38.83,49.693,47.671,59.342,26.184,31.962,24.495,61.235,59.676,32.133,16.007,32.686,59.716,31.486,33.206,20.815,25.334,30.963,23.616,59.187,57.645,31.299,15.094,31.951,58.881,30.2,25.891,32.324,35.197,28.814,18.118,37.832,46.159,34.15,58.476,20.815,25.334,30.963,23.616,59.187,58.403,31.299,15.094,31.951,58.881,30.2,25.891,32.324,35.197,28.814,18.118,37.832,46.159,34.15,58.476,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,3,3,2,4,1,1,5,5,1,1,1,1,1,1,4,29,no,2.25,5,100.931,42.54,39.824,249.949,288.263,96.641,37.63,36.846,238.651,284.636,96.641,37.63,36.846,243.521,284.636,1,1,1,2,1,,4,1,23,2,,Es apropriado que guardes como secreto tu relacin anterior para que l/ella se queda feliz y la relacin sigue con xito?,1,,2,14,3,5,5,7,7,7,7,7,7,0,18,39,50,"One suggestion is to include more instruction with the moral decision making section. Maybe suggest to participants to only consider information given. In some instances, while making the decision, I thought about inferring further consequences of my actions other than those solely suggested by the question. However, I figured I would make my decision only based on what I was given, but other people may include further ideas. For example would I smother the baby to prevent everyone from working in the mine? I said no, because it wasn't an immediate life or death situation, but being forced to work in a mine might also lead to everyone's drawn out death anyway. ",Yes,0
R_6roHg4sGNNicLMF,Default Response Set,Anonymous,0,0,11/2/15 14:59,11/2/15 15:18,1,,,,1,,,,1,1,,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2,2,14.618,49.85,11.926,21.299,13.508,30.122,16.354,14.629,12.65,24.517,15.33,8.797,15.623,83.383,9.543,13.231,15.529,14.656,12.827,9.077,13.64,23.202,14.561,7.995,14.932,82.381,8.781,12.397,14.623,13.902,11.897,48.336,8.091,10.579,20.304,12.634,29.096,15.44,13.787,11.359,13.64,23.202,14.561,7.995,14.932,82.381,8.781,12.397,14.623,13.902,11.897,49.392,8.091,11.658,20.304,12.634,29.096,15.44,13.787,11.359,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,4,3,4,4,3,2,4,1,1,5,5,1,1,1,1,1,1,9,15,No,2.25,5,107.204,73.758,10.755,67.223,67.622,105.074,50.436,8.137,61.372,64.82,105.074,50.436,8.137,61.372,64.82,1,1,1,1,1,4,,2,24,2,,Es apropriado para tener su relacion pasado una secreta para mantener la felicidad y mantenerlo vivo?,1,,1,14,3,5,5,6,5,7,7,7,7,2,2,5,5,,Yes,0
R_cUNQ77PRXolg0yp,Default Response Set,Anonymous,0,0,11/2/15 16:04,11/2/15 16:24,1,,,,1,,,,1,1,,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,1,2,2,2,23.888,24.002,35.726,19.254,47.418,25.32,30.689,16.275,34.538,16.605,18.872,22.76,45.196,28.929,23.757,12.867,14.411,35.069,15.041,12.482,21.736,15.65,17.571,21.062,26.529,27.481,22.308,11.658,13.182,27.723,13.914,22.936,11.144,34.502,15.08,46.368,24.169,28.817,15.278,33.289,21.736,15.65,17.571,21.062,43.534,27.481,22.308,11.658,13.182,33.957,13.914,22.936,11.144,34.502,15.08,46.368,24.169,28.817,15.278,33.289,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,2,5,5,4,2,5,2,2,4,3,2,1,1,1,1,1,4,30,No,2.25,5,134.167,34.09,24.603,41.909,48.912,1.974,3.316,3.601,4.225,1.708,1.974,3.316,3.601,4.225,1.708,1,1,1,1,1,4,,2,21,2,,Es appropriado mantener su relacion del pasado un secreto para hacerle feliz y la reclacion feliz?,1,,2,14,2,4,5,6,6,7,7,7,7,8,9,27,87,,Yes,0
R_5tkHnDBTkXN0BeZ,Default Response Set,Anonymous,0,0,11/2/15 14:06,11/2/15 17:13,1,,,,1,,,,1,1,,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,2,2,2,1,1,2,2,1,2,1,1,17.865,33.669,12.008,8.888,17.338,10.587,7.809,11.404,27.518,11.243,53.656,7.908,8.421,15.971,27.641,16.024,8.661,26.072,14.403,11.598,16.517,7.401,52.065,4.89,6.282,12.847,26.664,15.148,7.561,24.933,13.495,32.261,7.933,10.751,3.796,14.848,9.06,6.058,8.558,26.395,16.517,8.7,52.065,4.89,6.282,13.913,26.664,15.148,7.561,24.933,13.495,32.261,7.933,10.751,6.813,16.059,9.06,6.058,8.558,26.395,1,2,1,1,1,2,1,1,1,1,1,1,1,1,3,2,1,1,1,1,5,2,4,5,2,3,4,3,2,3,4,4,1,1,1,1,1,4,31,No,2.25,3,138.656,38.105,24.437,90.39,6.752,14.006,12.045,17.615,21.983,3.42,14.006,36.153,17.615,85.709,3.42,1,2,1,2,1,,4,1,19,1,Ones regarding abortions. ,Es conveniente para que usted mantenga su relacin anterior en secreto con fin de mantener l/ella feliz y la relacin viva. ,1,,1,14,2,4,5,4,5,7,7,7,7,10,0,5,9,Nada. Gracias. ,Yes,0
R_2lzJqDp7L4xFbvL,Default Response Set,Anonymous,0,0,11/2/15 16:44,11/2/15 17:18,1,,,,1,,,,1,1,,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,1,2,1,2,1,2,1,1,1,2,36.288,38.273,26.437,34.454,30.055,35.148,21.419,35.314,34.925,29.648,30.196,22.629,52.065,39.654,43.118,26.742,31.529,33.685,36.301,35.495,28.39,26.856,26.259,19.256,46.369,34.975,39.822,14.436,27.981,30.567,29.031,35.229,19.971,22.387,30.705,27.133,32.33,18.031,32.192,33.288,28.39,26.856,26.259,19.256,46.369,34.975,39.822,14.436,27.981,30.567,29.031,35.229,19.971,22.387,30.705,27.133,32.33,18.522,34.795,33.288,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,4,1,4,4,2,2,5,1,2,4,3,3,1,1,1,1,1,4,30,No,3.25,5,278.326,38.157,35.392,82.98,98.073,7.993,18.602,13.069,7.663,18.16,267.28,21.323,13.069,70.933,94.936,2,2,1,2,3,4,,2,22,1,The abortion scenarios,Es apropiado para mantener su relacion anterior en secreto para mantener el/ella feliz y la relacion viviendo?  ,1,,2,12,8,6,5,4,4,7,7,7,7,0,17,18,16,,Yes,0
R_6rOzzCkWXunEJTL,Default Response Set,Anonymous,0,0,11/2/15 19:43,11/2/15 20:01,1,,,,1,,,,1,1,,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,63.817,85.026,24.601,17.497,10.321,16.961,26.394,18.622,90.398,14.745,13.638,15.142,19.836,52.814,83.443,12.674,44.374,18.135,13.952,12.041,18.31,13.362,8.14,13.755,15.382,51.335,81.625,11.489,43.093,13.167,10.855,83.923,11.086,23.107,16.223,6.74,15.472,23.228,17.337,87.651,18.31,13.362,8.14,13.755,18.159,51.335,81.625,11.489,43.093,16.45,12.91,83.923,11.086,23.107,16.223,6.74,15.472,23.228,17.337,87.651,1,1,1,1,2,1,1,1,1,12,2,1,1,1,1,1,1,1,1,1,5,1,5,5,5,1,5,2,1,4,4,2,1,1,1,1,1,4,30,yes,3.25,5,33.704,9.018,8.243,48.91,34.768,0.937,1.922,3.402,4.266,2.311,0.937,1.922,3.402,4.266,34.342,1,1,1,1,2,,4,2,20,2,,es aproriado para mantener las relcaiones del antes un secreto para estar seguro que el or ella esta contenta y las relaciones estan buenas,1,,2,16,4,6,6,5,5,7,7,7,7,0,10,0,0,,Yes,0
R_3gAYfN3Towi7WcJ,Default Response Set,Anonymous,0,0,11/2/15 20:59,11/2/15 21:31,1,,,,1,,,,1,1,,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,2,1,1,2,2,11.111,31.401,26.497,60.125,28.115,21.8,31.119,16.353,96.824,27.021,19.381,15.553,28.217,39.144,18.41,37.366,15.484,23.857,17.511,20.702,9.951,25.537,16.935,12.899,4.33,33.605,16.569,24.521,13.721,21.729,15.832,28.989,12.179,24.11,44.983,17.045,15.691,28.371,8.982,92.486,9.951,25.537,18.455,14.998,4.33,33.605,16.569,31.955,13.721,21.729,15.832,28.989,12.179,25.829,44.983,17.045,15.691,28.371,8.982,92.486,1,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,3,2,4,3,4,2,4,1,1,5,5,1,1,1,1,1,1,4,29,No,2.25,5,194.496,55.613,80.889,38.181,49.555,2.594,1.213,4.772,2.945,46.237,2.594,55.173,4.772,2.945,46.237,1,2,1,1,1,4,,1,20,2,,Es adecuado que guardes tu relacin anterior un secreto para mantener su novio contento y la relacin viva?,1,,2,13,4,5,6,7,6,7,7,7,7,0,4,20,30,"On some of the moral dilemma questions, I didn't really have an exact ""yes"" or ""no"" response, and probably would have given a more ambiguous ""maybe"" response or explained further rather than giving an exact yes/no answer for some of those scenarios.",Yes,0
R_eQDvd6BMVK2Hiwl,Default Response Set,Anonymous,0,0,11/2/15 21:12,11/2/15 21:36,1,,,,1,,,,1,1,,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,1,2,2,2,17.154,29.544,21.654,16.615,18.707,24.508,33.754,21.389,30.571,21.506,35.943,24.545,22.155,34.534,31.139,34.081,21.451,34.875,14.039,22.678,14.935,20.494,35.066,23.255,20.735,33.201,29.776,17.172,19.997,33.707,12.92,28.469,21.615,19.395,15.323,17.676,23.271,32.263,19.394,29.316,14.935,20.494,35.066,23.255,20.735,33.201,29.776,32.692,19.997,33.707,12.92,28.469,21.615,19.395,15.323,17.676,23.271,32.263,19.394,29.316,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,2,2,5,3,3,4,2,2,1,1,1,1,1,4,29,No ,2.25,5,98.833,87.894,21.831,31.246,42.938,95.819,4.934,4.938,11.725,36.97,95.819,4.934,4.938,11.725,36.97,1,1,1,1,1,4,,1,44,1,Whether a person should withhold important information from their partners.,ÀEst apropriada si usted no diga nada a su compaero/a sobre una relacin pasada para sostener la relacin corriente y para quedar a su compaero/a feliz?,1,,1,41,1,6,3,7,7,7,7,7,7,0,19,0,0,,Yes,0
R_9KobRSiPS4L7NXv,Default Response Set,Anonymous,0,0,11/2/15 22:34,11/2/15 23:01,1,,,,1,,,,1,1,,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,2,2,2,2,1,1,1,2,1,2,23.719,13.393,32.24,14.227,54.63,11.99,9.779,25.242,13.375,34.078,22.942,8.606,16.673,24.889,15.028,22.994,18.337,62.295,141.407,18.79,22.019,32.464,21.214,4.871,4.945,23.35,13.374,18.096,16.423,60.705,139.697,11.191,8.411,30.648,12.592,53.019,9.849,4.991,23.526,10.028,22.019,32.464,21.214,4.871,4.945,23.35,13.374,18.096,16.423,60.705,139.697,11.191,17.467,30.648,12.592,53.019,9.849,7.731,23.526,10.028,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,4,1,4,3,2,1,4,4,3,3,3,2,1,1,1,1,1,9,1,yes,2.25,5,32.301,19.382,17.412,72.029,110.487,23.477,4.148,6.568,6.733,98.404,23.477,4.148,6.568,65.676,98.404,1,1,1,2,1,4,,2,20,2,,est apropriado mantener su relacin anterior un secreto para mantener feliz y la viva la relacin?,1,,1,15,0.25,4,4,5,7,7,7,7,7,9,0,7,9,no,Yes,0
R_ea4MjPh8EafDjnf,Default Response Set,Anonymous,0,0,11/2/15 23:02,11/2/15 23:20,1,,,,1,,,,1,1,,,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2,2,17.965,32.107,9.627,28.929,12.398,26.078,32.783,8.975,27.713,17.466,24.348,28.849,56.718,22.575,11.106,20.795,17.676,7.608,10.899,18.533,17.185,15.249,18.363,25.211,54.614,20.992,6.774,19.748,16.702,6.048,9.783,30.209,17.467,7.111,20.333,11.547,24.416,32.218,6.572,21.178,17.185,15.249,18.363,25.211,54.614,20.992,10.172,19.748,16.702,6.048,9.783,30.209,17.467,7.111,20.333,11.547,24.416,32.218,6.572,21.178,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,4,1,1,4,3,4,2,2,4,1,1,1,1,1,9,31,Yes,3.00,2,59.467,30.125,13.962,19.342,44.886,54.659,25.541,6.523,15.617,41.021,54.659,25.541,6.523,15.617,41.021,1,1,1,1,1,4,,2,21,1,"Ethics ones- smothering the baby, swerving to avoid killing one person or another",Es apropriado no habla de sus relaciones pasados para mantener la felizidad de la relacion?,1,,1,14,1,4,7,6,6,7,7,7,7,0,0,0,0,,Yes,0
R_cMy43BUz0eIMd0N,Default Response Set,Anonymous,0,0,11/2/15 22:53,11/2/15 23:22,1,,,,1,,,,,1,,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,1,1,2,2,1,1,1,2,2,2,77.031,70.272,32.926,31.372,63.982,29.476,52.671,57.559,35.547,22.092,24.858,27.839,44.891,41.931,14.546,17.237,37.88,48.844,14.707,20.417,75.59,21.034,23.833,23.73,43.13,40.867,12.002,16.276,34.966,47.384,13.714,53.032,16.671,31.611,30.012,62.718,28.063,50.094,55.781,34.556,75.59,21.034,23.833,25.345,43.13,40.867,12.002,16.276,36.881,47.384,13.714,54.43,19.287,31.611,30.012,62.718,28.063,50.094,55.781,34.556,1,1,1,2,1,1,1,1,2,1,1,2,4,1,1,1,1,1,1,1,5,2,5,5,2,1,5,2,2,4,3,2,1,1,1,1,1,3,30,No,2.25,5,75.234,22.002,13.259,46.632,50.188,70.71,8.564,8.922,40.797,47.72,70.71,8.564,11.371,40.797,47.72,1,1,2,1,1,,4,2,22,1,The second portion of the survey were the same scenarios with minor details changed.  /  / One seemed like the plot from a book. ,ÀEs apropriado ocultar tu ltima relacin para hacerse feliz gal relacin viva?,1,,2,16,1,5,5,7,6,7,7,7,7,0,5,13,14,,Yes,0
R_3E4KWBfbqSbczGt,Default Response Set,Anonymous,0,0,11/2/15 22:57,11/2/15 23:25,1,,,,1,,,,,1,1,,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,1,1,1,2,1,1,1,2,1,2,20.582,28.491,12.599,47.085,17.089,24.821,32.866,16.42,25.191,395.116,21.386,23.496,23.556,71.022,16.981,19.744,24.924,26.76,33.409,13.448,19.75,394.024,20.552,22.26,22.562,54.405,15.937,18.552,23.839,25.759,32.419,21.678,11.885,11.489,41.439,16.311,23.979,31.686,14.997,19.58,19.75,394.024,20.552,22.26,22.562,70.087,15.937,18.552,23.839,25.759,32.419,27.661,11.885,11.489,42.421,16.311,23.979,31.686,14.997,19.58,1,1,1,1,1,2,1,1,1,1,1,3,1,1,2,1,1,1,1,1,5,1,3,4,1,3,5,4,3,3,2,1,1,1,1,1,1,4,29,Yes,2.25,5,52.397,25.614,8.823,61.285,53.275,49.298,5.588,7.159,39.362,48.643,49.298,5.588,7.159,56.864,48.643,1,1,1,2,1,,3,2,22,2,,Es apropiada para guarde su relacin previo en secreto para guarda a su novio y su relacin presente con vido?,1,,1,16,2,4,5,5,3,7,7,7,7,0,11,24,0,,Yes,0
