V1,V2,V3,V4,V5,V7,V8,V9,V10,Source,Code,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,status,Native_1,Native_2,Native_3,Native_3_TEXT,Speak_1,Speak_2,Speak_5,Speak_5_TEXT,Home,MariaEN,AlexEN,Consent,Intro,ScenN1,ScenN2,ScenN3,ScenN4,ScenN5,ScenN6,ScenN7,ScenN8,ScenN9,ScenN10,ScenN11,ScenN12,ScenN13,ScenN14,ScenN15,ScenN16,ScenN17,ScenN18,ScenN19,ScenN20,Scenario1,Scenario2,Scenario3,Scenario4,Scenario5,Scenario6,Scenario7,Scenario8,Scenario9,Scenario10,Scenario11,Scenario12,Scenario13,Scenario14,Scenario15,Scenario16,Scenario17,Scenario18,Scenario19,Scenario20,dv1,dv3,dv5,dv7,dv9,dv11,dv13,dv15,dv17,dv19,dv2,dv4,dv6,dv8,dv10,dv12,dv14,dv16,dv18,dv20,time_11,time_21,time_31,time_41,time_12,time_22,time_32,time_42,time_13,time_23,time_33,time_43,time_14,time_24,time_34,time_44,time_15,time_25,time_35,time_45,time_16,time_26,time_36,time_46,time_17,time_27,time_37,time_47,time_18,time_28,time_38,time_48,time_19,time_29,time_39,time_49,time_110,time_210,time_310,time_410,time_111,time_211,time_311,time_411,time_112,time_212,time_312,time_412,time_113,time_213,time_313,time_413,time_114,time_214,time_314,time_414,time_115,time_215,time_315,time_415,time_116,time_216,time_316,time_416,time_117,time_217,time_317,time_417,time_118,time_218,time_318,time_418,time_119,time_219,time_319,time_419,time_120,time_220,time_320,time_420,Q42,Q44,gender,age_1,familiar,familiar2,Q36,Q47,Q47_TEXT,Q49,Q51_1,Q53_1,Q55_1,Q55_2,Q55_3,Q55_4,Q55_5,Q55_6,Q55_7,Q55_8,Q57_1,Q57_2,Q57_3,Q57_4,comments,Q31,Include
R_rrJo9NarBkTdzah,Default Response Set,Anonymous,43,2,,9/8/16 8:47,9/8/16 9:03,1,1515,Z171Y,I_footbridge,I_wood press,C_cargo,I_grizzly,C_nurse,I_motocross,C_wood press,I_torture,I_cargo,C_torture,I_vaccine,C_grizzly,C_motocross,I_nurse,C_vaccine,C_air show,I_transplant,I_air show,C_transplant,C_footbridge,complete,1,,,,1,1,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,13.19,13.19,14.052,1,23.372,23.372,26.33,1,31.084,59.26,59.994,2,13.016,13.016,14.086,1,10.659,10.659,11.474,1,22.992,22.992,26.878,1,25.815,25.815,27.308,1,10.433,10.433,11.559,1,22.391,22.391,23.205,1,17.744,17.744,18.958,1,13.855,13.855,17.485,1,7.616,7.616,9.253,1,10.829,10.829,12.18,1,11.685,11.685,12.395,1,19.669,19.669,20.494,1,13.652,13.652,14.339,1,9.202,9.202,9.967,1,33.282,33.282,34.154,1,13.329,13.329,16.071,1,12.818,12.818,14.85,1,4,,1,24,1,The railway scenario (trolley problem).,"Ist es ethisch richtig, den Mann in der Nhe zu sto§en, um vier andere Menschen vor dem Tod zu bewahren?",1,,1,9,0,6,7,7,6,6,6,7,6,2,95,85,2,Watching TV or listening to the radio is starting to become outdated. I was unsure whether to include online videos (e.g. YouTube) or streaming websites (e.g. Twitch.tv). I chose not to.,1,1
R_3MEvQR9dFXQumSq,Default Response Set,Anonymous,44,2,,9/8/16 9:15,9/8/16 9:32,1,6041,Z548B,C_grizzly,C_motocross,C_transplant,I_nurse,C_vaccine,I_motocross,I_footbridge,I_cargo,I_air show,C_cargo,C_torture,I_torture,C_wood press,I_grizzly,C_nurse,I_wood press,I_vaccine,C_air show,C_footbridge,I_transplant,complete,1,,,,,1,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,3,1,1,2,1,2,2,2,3,2,2,1,2,2,2,2,26.767,26.767,28.07,1,28.694,28.694,30.098,1,12.488,12.488,13.893,1,107.715,107.715,109.469,1,31.363,31.363,33.345,1,50.539,50.539,52.748,1,21.51,21.51,22.904,1,33.213,33.213,34.726,1,13.46,13.46,15.002,1,30.488,30.488,32.669,1,16.033,16.033,17.882,1,23.258,23.258,25.037,1,19.434,19.434,21.173,1,20.006,20.006,21.924,1,24.773,24.773,26.649,1,37.675,37.675,41.211,1,35.874,35.874,37.87,1,35.173,35.173,36.709,1,21.805,22.54,23.951,2,90.261,90.261,91.764,1,,4,2,25,2,,"Ist es moralisch korrekt, den nebenstehenden Mann zu sto§en, um vier andere Menschen vor dem Tod zu bewahren?",1,,1,9,2,7,6,7,6,5,4,6,5,9,31,50,42,,1,1
R_2arglObHALtBH0W,Default Response Set,Anonymous,45,2,,9/8/16 9:21,9/8/16 9:34,1,7562,A675Y,I_nurse,I_cargo,I_motocross,I_footbridge,C_footbridge,C_wood press,C_transplant,I_transplant,I_grizzly,C_torture,I_air show,C_grizzly,I_wood press,C_motocross,C_nurse,I_torture,C_vaccine,C_cargo,I_vaccine,C_air show,complete,1,,,,1,1,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,37.897,37.897,39.319,1,12.748,12.748,14.296,1,11.717,11.717,13.777,1,37.059,37.059,38.743,1,21.519,21.519,23.058,1,6.226,6.226,9.32,1,5.559,8.474,9.69,2,6.458,6.458,7.782,1,8.72,8.72,10.531,1,9.777,14.119,15.181,3,20.346,21.804,23.468,2,10.834,18.266,26.705,2,9.871,9.871,11.605,1,18.064,18.064,20.087,1,41.438,41.438,42.918,1,12.562,12.562,14.062,1,48.111,48.111,49.329,1,25.265,25.265,26.58,1,21.524,23.603,24.705,2,21.416,23.225,24.587,2,4,,2,30,2,,"Es ist moralisch vertretbar den Mann, der in der Nhe ist, hinunterzusto§en, um vier andere Menschen vor dem Tod zu bewahren.",1,,1,10,2,7,7,7,7,5,5,5,5,18,71,53,53,,1,1
R_2RWGzUeRIh9O9AI,Default Response Set,Anonymous,46,2,,9/8/16 9:14,9/8/16 9:34,1,6245,Z565Y,I_grizzly,I_cargo,C_grizzly,I_wood press,C_air show,C_footbridge,C_wood press,C_cargo,C_vaccine,C_nurse,I_footbridge,I_air show,I_torture,C_motocross,I_vaccine,I_nurse,C_transplant,C_torture,I_transplant,I_motocross,complete,1,,,,1,1,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,79.526,79.526,80.833,1,26.661,27.753,28.478,2,51.948,51.948,53.372,1,38.965,38.965,40.506,1,11.106,11.106,14.109,1,48.794,48.794,49.801,1,8.391,8.391,9.388,1,31.293,31.293,32.273,1,78.171,78.171,79.197,1,10.951,39.534,40.138,3,18.769,20.471,21.332,3,32.256,32.256,33.247,1,8.838,8.838,9.91,1,39.275,39.275,40.299,1,74.266,74.266,75.797,1,25.461,25.461,26.543,1,10.991,12.888,13.467,3,30.42,30.42,31.572,1,43.146,43.146,44.717,1,19.447,19.447,20.73,1,4,,1,30,2,,Es ist moralisch korrekt den Mann in der Nhe zu schubsen um die anderen vor dem sterben zu bewahren,1,,3,6,3,7,7,7,7,5,5,6,5,9,19,39,38,No,1,1
R_ym5fp3FkGHpyHRL,Default Response Set,Anonymous,47,2,,9/8/16 9:22,9/8/16 9:37,1,1939,Z206B,I_nurse,I_air show,C_nurse,I_transplant,C_wood press,I_cargo,I_vaccine,I_footbridge,C_cargo,I_motocross,C_transplant,C_motocross,I_wood press,C_torture,I_torture,C_grizzly,C_air show,C_footbridge,I_grizzly,C_vaccine,complete,1,,,,,1,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,2,2,37.614,37.614,38.558,1,8.386,8.386,9.351,1,17.922,17.922,19.304,1,5.792,5.792,6.773,1,44.667,44.667,46.137,1,31.792,31.792,32.597,1,15.955,15.955,16.799,1,3.944,6.736,7.276,3,4.939,4.939,5.599,1,50.483,50.483,51.247,1,29.959,29.959,30.73,1,24.125,24.125,25.235,1,20.201,20.201,22.552,1,19.114,19.114,19.857,1,3.812,3.812,5.411,1,44.595,44.595,45.384,1,41.366,41.366,44.804,1,14.292,14.292,15.417,1,27.543,27.543,28.415,1,8.608,8.608,9.348,1,,4,1,19,1,The one with the police officer,"Ist es moralisch vertretbar einen Menschen zu tten, um 4 amdere Menschen zu retten?",1,,2,8,1,7,7,7,6,5,6,6,5,0,9,60,60,,1,1
R_1Du2x3JHCpjJGR8,Default Response Set,Anonymous,48,2,,9/8/16 9:14,9/8/16 9:41,1,2786,A277Y,I_torture,C_air show,I_motocross,C_vaccine,I_cargo,C_grizzly,I_wood press,C_wood press,I_vaccine,I_air show,C_transplant,I_transplant,C_cargo,I_grizzly,C_torture,C_motocross,C_nurse,C_footbridge,I_footbridge,I_nurse,complete,1,,,,,1,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,30.803,30.803,32.062,1,19.437,19.437,20.427,1,33.316,93.591,95.446,2,12.52,12.52,13.631,1,29.678,29.678,31.864,1,26.918,31.478,33.497,2,72.883,72.883,73.943,1,7.572,7.572,8.746,1,33.147,78.164,79.151,2,7.651,7.651,8.543,1,15.714,15.714,16.875,1,22.543,22.543,23.519,1,19.164,19.164,20.064,1,131.277,131.277,132.376,1,13.39,13.39,15.002,1,29.871,29.871,31.1,1,6.329,6.329,7.396,1,22.806,22.806,23.766,1,6.008,6.008,7.256,1,7.385,7.385,8.489,1,4,,1,45,2,,"Ist es moralisch richtig, einen Mann in der Nhe wegzuschieben um zu verhindern, dass vier andere Menschen sterben?",1,,1,13,0,7,7,7,7,3,3,5,5,10,15,10,20,,1,1
R_URZY3Sr21CT8Owp,Default Response Set,Anonymous,49,2,,9/8/16 9:51,9/8/16 9:56,1,7562,A675Y,C_wood press,I_grizzly,C_vaccine,I_wood press,C_transplant,C_cargo,I_cargo,C_nurse,I_air show,C_torture,C_footbridge,I_nurse,I_torture,I_transplant,I_vaccine,I_footbridge,C_air show,C_grizzly,C_motocross,I_motocross,complete,1,,,,1,1,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,2,2,1.941,4.116,5.567,2,2.994,10.27,11.438,4,3.18,4.822,5.981,2,1.451,6.86,8.057,2,1.127,3.477,4.753,2,2.609,4.155,5.262,2,3.094,4.92,6.003,2,1.688,4.282,5.925,2,3.858,3.858,5.174,1,5.156,5.156,6.626,1,3.573,5.14,6.247,2,3.243,3.243,4.828,1,4.196,4.196,5.84,1,7.005,7.005,8.707,1,5.185,5.185,7.655,1,2.519,7.132,7.69,4,3.837,6.023,7.928,2,3.943,6.742,7.736,3,3.885,5.712,6.773,2,1.182,4.998,6.382,2,4,,2,30,2,,Es ist moralisch vertretbar den Mann in der Nhe herunter zu sto§en um vier andere Menschenleben zu retten.,1,,1,10,2,7,7,7,7,5,5,5,5,12,74,56,59,,1,1
R_tYVJnM89JDjd6eJ,Default Response Set,Anonymous,50,2,,9/8/16 9:49,9/8/16 9:57,1,9935,Z872B,C_wood press,I_footbridge,C_cargo,C_nurse,C_transplant,C_motocross,C_footbridge,I_wood press,I_torture,C_air show,I_nurse,C_torture,I_grizzly,I_air show,I_cargo,I_transplant,I_vaccine,I_motocross,C_grizzly,C_vaccine,complete,1,,,,,1,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,2,2,2,2,1,2,1,2,5.523,5.523,6.668,1,7.834,7.834,8.642,1,4.007,4.007,5.118,1,3.633,5.652,5.999,3,4.399,4.399,5.79,1,4.939,4.939,6.332,1,3.532,3.532,4.322,1,1.811,6.707,7.804,2,6.759,8.503,9.522,3,5.133,30.294,32.391,6,0.92,2.744,3.707,3,2.381,5.508,6.389,2,3.089,3.089,6.855,1,4.119,4.119,4.961,1,4.68,4.68,5.527,1,3.768,3.768,4.881,1,1.045,1.045,5.311,1,6.178,6.178,7.357,1,4.923,4.923,6.031,1,4.462,4.462,5.512,1,4,,2,18,1,The sentence 4.,"Ist es moralisch korrekt den nahe stehenden Mann zu schubsen, um zu verhindern, dass die anderen vier Menschen sterben?",1,,1,11,0,7,7,7,7,5,5,7,7,4,5,41,100,,1,1
R_1FfHCrkk99xWeVQ,Default Response Set,Anonymous,51,2,,9/8/16 9:50,9/8/16 10:03,1,1660,A183Y,I_footbridge,I_air show,C_motocross,C_torture,C_air show,C_footbridge,C_nurse,I_nurse,I_grizzly,I_cargo,I_torture,I_motocross,C_grizzly,C_wood press,C_cargo,C_vaccine,I_wood press,I_vaccine,C_transplant,I_transplant,complete,1,,,,,1,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,1,2,2,1,2,6.602,29.035,29.801,46,1.307,17.176,17.93,34,1.09,14.843,16.024,30,1.67,32.485,32.736,7,1.756,31.904,33.234,32,26.263,27.512,27.846,4,1.357,31.295,32.51,58,1.404,43.202,43.913,8,1.105,11.053,11.737,21,2.112,42.384,43.973,72,0.818,14.431,15.14,27,1.408,18.401,19.57,35,1.197,11.293,11.82,22,1.137,16.202,17.614,21,1.055,30.848,32.007,51,1.178,22.226,22.963,41,1.01,22.8,23.564,34,1.487,25.84,26.699,41,2.552,37.228,38.407,51,0.982,27.21,28.805,35,,4,1,22,1,The story about the grizzly,"lst es moralisch korrekt seinen Nachbarn zu schubsen, um vier andere Leute vor dem Tod zu bewahren?",1,,1,13,0,7,7,7,7,6,6,5,5,4,6,51,51,,1,1
R_1IMpzfvK2f7Kipn,Default Response Set,Anonymous,52,2,,9/8/16 9:51,9/8/16 10:08,1,4738,A439Y,I_motocross,C_wood press,I_wood press,I_nurse,C_air show,C_torture,C_nurse,I_grizzly,I_cargo,I_torture,I_transplant,C_grizzly,C_cargo,I_vaccine,C_vaccine,C_footbridge,I_footbridge,C_motocross,I_air show,C_transplant,complete,1,,,,1,1,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,35.197,35.197,36.118,1,11.24,27.241,28.081,6,19.95,20.39,23.138,2,37.173,37.173,38.207,1,22.163,22.163,23.012,1,45.232,45.232,46.57,1,32.321,32.321,33.995,1,14.255,15.415,16.258,2,35.958,35.958,40.049,1,45.089,45.089,46.443,1,10.17,28.346,29.115,2,9.969,9.969,10.915,1,14.377,14.377,15.155,1,17.538,17.538,18.484,1,36.103,36.103,36.881,1,2.527,29.727,30.551,2,30.14,31.068,31.323,2,26.075,26.075,29.439,1,14.386,14.386,15.166,1,26.056,26.056,27.211,1,,4,2,22,2,,"Ist es moralisch richtig, den Mann in der Nhe zu schubsen, um zu verhindern, dass vier andere Menschen sterben?",1,,1,9,0,7,7,7,7,5,5,6,5,0,9,50,59,,1,1
R_25Fyu6UhTjwZTpa,Default Response Set,Anonymous,53,2,,9/8/16 9:45,9/8/16 10:10,1,9284,A818B,I_torture,I_air show,I_transplant,I_cargo,C_footbridge,C_torture,I_vaccine,I_footbridge,I_motocross,C_nurse,C_transplant,C_cargo,C_vaccine,I_nurse,C_air show,C_wood press,I_grizzly,C_grizzly,I_wood press,C_motocross,complete,1,,,,,1,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2,2,1,2,59.889,59.889,60.735,1,48.196,48.196,49.231,1,49.08,49.08,49.914,1,49.076,49.076,50.225,1,49.388,49.388,50.18,1,44.364,44.364,45.243,1,50.299,50.299,51.296,1,25.986,25.986,26.751,1,14.357,14.357,15.082,1,75.136,75.136,76.335,1,43.124,43.124,44.49,1,35.67,35.67,36.475,1,32.421,32.421,34.427,1,31.969,64.761,65.564,4,60.53,61.402,62.313,3,63.488,63.488,64.509,1,186.239,186.239,187.972,1,48.162,48.162,51.391,1,29.16,29.16,30.133,1,51.223,51.223,52.477,1,4,,1,29,2,,"Ist es moralisch korrekt einen nahestehenden Mann zu sto§en, um vier andere Personen vor dem Tod zu beschtzen.",1,,1,9,0,7,7,7,7,3,4,6,5,0,5,20,20,,1,1
R_2CZgT8nCRfT7WlB,Default Response Set,Anonymous,54,2,,9/8/16 10:14,9/8/16 10:18,1,5427,Z497Y,C_footbridge,I_vaccine,I_grizzly,C_grizzly,I_nurse,C_nurse,I_wood press,C_cargo,C_torture,I_air show,I_motocross,C_vaccine,I_footbridge,C_transplant,C_air show,C_motocross,I_torture,C_wood press,I_transplant,I_cargo,complete,1,,,,,1,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.625,0.625,1.474,1,0.714,0.714,2.538,1,0.828,0.828,1.655,1,0.692,0.692,1.781,1,0.724,1.66,1.948,2,0.99,0.99,1.891,1,0.603,1.736,2.085,3,0.731,0.731,1.531,1,0.63,0.63,1.632,1,0.725,0.725,1.877,1,0.784,0.784,1.687,1,5.102,5.102,6.208,1,0.711,0.711,1.756,1,0.624,0.624,1.447,1,0.719,0.719,1.908,1,0.965,0.965,2.09,1,0.662,0.662,1.563,1,0.788,0.788,1.859,1,0.871,0.871,1.793,1,1.556,1.556,2.598,1,,4,2,18,2,,"Ist es moralisch korrekt den nahe stehenden Mann zu schubsen, um die vier anderen Menschen vor dem Sterben zu bewahren?",1,,1,12,0,7,7,7,7,5,5,5,4,41,41,45,100,,1,1
R_1P8bdCeGBfGzlxS,Default Response Set,Anonymous,55,2,,9/8/16 10:10,9/8/16 10:26,1,9328,A822B,I_vaccine,C_wood press,C_vaccine,I_cargo,I_torture,C_torture,C_grizzly,I_wood press,C_air show,I_air show,I_footbridge,I_transplant,C_motocross,C_cargo,I_grizzly,C_footbridge,C_nurse,I_nurse,I_motocross,C_transplant,complete,1,,,,1,1,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,49.58,49.58,50.469,1,16.367,16.367,17.319,1,24.923,24.923,25.988,1,18.018,19.003,20.483,2,20.992,20.992,22.025,1,36.466,36.466,39.099,1,25.382,25.382,26.568,1,9.065,9.065,9.984,1,7.634,7.634,9.603,1,43.312,43.312,46.545,1,19.702,19.702,20.629,1,19.197,19.197,20.373,1,25.684,25.684,26.957,1,16.998,16.998,23.559,1,9.378,9.378,10.803,1,7.314,7.314,15.459,1,22.149,22.149,23.174,1,38.75,38.75,39.814,1,12.523,12.523,14.1,1,33.795,33.795,36.325,1,,4,1,31,1,Decision about taking organs or not,"Ist es moralisch in Ordnung den nahestehenden Menschen zu schubsen um zu vermeiden, dass vier andere Personen sterben?",1,,2,10,10,7,7,7,7,5,6,6,6,14,14,25,15,nope,1,1
R_1QbewQkTA13AWaE,Default Response Set,Anonymous,56,2,,9/8/16 10:06,9/8/16 10:29,1,9935,Z872B,I_footbridge,I_grizzly,C_grizzly,C_motocross,I_air show,C_footbridge,I_transplant,I_nurse,C_cargo,C_air show,C_transplant,C_wood press,C_vaccine,I_cargo,I_wood press,I_motocross,C_torture,C_nurse,I_vaccine,I_torture,complete,1,,,,,1,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1.096,12.495,13.306,3,1.222,15.117,15.911,3,1.151,15.606,16.441,3,1.692,24.387,25.109,3,1.378,18.169,19.842,5,1.024,17.583,18.289,3,1.335,24.758,26.031,2,1.579,24.442,25.884,5,1.282,32.513,33.171,4,2.665,24.784,27.243,4,6.661,37.075,37.716,4,8.496,10.44,11.176,3,27.397,29.493,30.295,2,24.437,29.46,30.612,2,28.269,59.499,60.564,4,43.039,44.943,45.668,3,1.447,17.742,18.473,3,1.04,58.213,58.95,4,1.762,30.457,31.769,5,1.151,22.733,24.471,5,4,,1,36,2,,"Ist es moralisch korrekt den Mann in der Nhe zu schubsen um zu verhindern, dass vier andere Leute sterben?",1,,2,10,0,7,7,7,5,4,4,6,5,0,0,51,18,No.,1,1
R_31pmFO3mRuphzhC,Default Response Set,Anonymous,57,2,,9/8/16 11:21,9/8/16 11:42,1,4006,A378B,C_transplant,C_footbridge,C_cargo,I_transplant,C_air show,C_torture,C_grizzly,I_air show,C_vaccine,C_nurse,C_motocross,I_torture,I_vaccine,I_grizzly,I_cargo,I_nurse,I_wood press,I_motocross,I_footbridge,C_wood press,complete,1,,,,1,1,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,25.608,26.008,27.278,2,51.718,51.718,52.676,1,20.866,20.866,22.201,1,52.78,52.78,53.628,1,27.257,27.257,28.456,1,46.134,46.134,47.269,1,33.322,33.322,34.46,1,31.924,50.996,56.021,4,55.494,55.494,56.397,1,45.512,45.512,46.88,1,17.623,17.623,18.768,1,36.656,36.656,37.926,1,20.821,20.821,21.866,1,26.954,26.954,27.929,1,36.804,36.804,37.82,1,56.092,56.092,57.427,1,30.535,30.535,31.982,1,61.415,61.415,62.823,1,18.242,18.65,19.664,2,42.675,42.675,43.762,1,4,,1,18,2,,"Ist es moralisch in Ordnung einen Umstehenden zu schubsen, um die andere vier Personen vor dem Tode zu schtzen?",1,,1,9,1,7,7,7,7,6,6,6,5,5,12,28,59,,1,1
R_1EgQ4N640I59LMx,Default Response Set,Anonymous,58,2,,9/8/16 11:23,9/8/16 11:49,1,84,A52B,I_wood press,C_vaccine,C_motocross,I_transplant,I_motocross,I_grizzly,C_footbridge,I_air show,C_wood press,C_air show,C_nurse,C_torture,I_footbridge,C_grizzly,C_cargo,I_torture,I_nurse,I_vaccine,C_transplant,I_cargo,complete,1,,,,1,1,1,French,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,25.205,25.205,26.936,1,37.309,37.309,38.784,1,19.364,19.364,20.399,1,43.24,43.24,44.069,1,30.753,30.753,32.342,1,33.635,33.635,34.962,1,23.765,23.765,25.068,1,36.24,36.24,38.753,1,118.724,118.724,122.789,1,35.284,35.284,36.78,1,26.595,26.595,28.118,1,18.828,18.828,19.916,1,20.47,20.47,21.491,1,352.347,352.347,353.22,1,53.542,53.542,54.558,1,26.413,26.413,27.757,1,22.914,22.914,24.277,1,29.849,29.849,31.553,1,26.672,26.672,27.631,1,35.765,35.765,37.18,1,4,,1,27,2,,"Ist es moralisch richtig, den nahestehenden Mann zu schubsen, um vier andere Menschen vor dem Tod zu bewahren?",1,,2,10,6,7,7,7,6,4,6,6,5,5,15,33,70,,1,1
R_VLpJiBkUlZETStb,Default Response Set,Anonymous,59,2,,9/8/16 11:22,9/8/16 11:54,1,797,Z111Y,C_nurse,I_transplant,C_grizzly,I_air show,C_torture,C_transplant,C_cargo,I_torture,C_footbridge,I_wood press,I_nurse,I_vaccine,I_footbridge,I_cargo,I_grizzly,C_motocross,C_vaccine,C_wood press,I_motocross,C_air show,complete,1,,,,1,1,,,2,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,33.225,33.225,39.42,1,92.573,135.835,136.547,2,44.413,44.413,47.34,1,67.841,67.841,69.178,1,17.688,108.467,109.282,4,31.72,31.72,33.199,1,31.701,31.701,33.983,1,37.31,37.31,41.31,1,79.54,79.54,80.765,1,30.454,30.454,31.257,1,57.587,57.587,58.77,1,38.169,38.169,40.324,1,56.207,56.207,59.126,1,43.323,43.323,44.031,1,37.59,37.59,40.79,1,109.419,109.419,111.834,1,32.097,32.097,33.501,1,78.663,78.663,79.877,1,84.83,84.83,85.637,1,64.264,64.264,65.119,1,,4,1,27,2,,"Ist es moralisch richtig den Mann in der Nhe zu sto§en, um zu verhinden, dass vier andere Personen sterben?",1,,1,10,0,6,5,6,5,4,5,5,4,2,3,5,5,-,1,1
R_PZOdOlAKsBuhZnj,Default Response Set,Anonymous,60,2,,9/8/16 13:57,9/8/16 14:22,1,4701,Z436B,C_wood press,I_air show,I_nurse,I_vaccine,I_cargo,C_footbridge,C_cargo,I_motocross,C_nurse,C_vaccine,I_footbridge,C_motocross,C_grizzly,C_transplant,I_wood press,C_torture,I_torture,I_transplant,C_air show,I_grizzly,complete,1,,,,1,1,,,2,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,2,39.13,41.336,43.17,2,31.118,31.118,32.5,1,2.338,2.338,4,1,8.758,10.886,11.366,2,45.199,46.639,47.158,2,4.403,4.403,5.817,1,52.479,52.479,53.802,1,5.346,6.201,8.612,2,7.314,8.85,9.306,2,56.295,111.462,113.39,4,6.488,6.488,7.961,1,32.382,32.382,36.894,1,32.41,32.41,34.56,1,7.605,7.605,10.843,1,5.255,5.75,7.059,2,60.182,60.182,62.283,1,36.626,111.961,114.557,3,8.336,8.336,9.843,1,3.643,3.643,5.227,1,45.613,45.613,47.786,1,4,,1,36,2,,Ist es moralisch richtig eine nahe Person zu opfern um vier andere vor dem Tod zu retten?,1,,1,10,2,6,6,6,6,4,4,5,4,20,0,30,50,no,1,1
